Iterasi,Populasi Predator,Populasi Prey
1,48.094475,20.353528
2,46.229482,20.693787
3,44.407186,21.020347
4,42.629467,21.332850
5,40.897930,21.631012
6,39.213904,21.914619
7,37.578451,22.183528
8,35.992376,22.437657
9,34.456237,22.676989
10,32.970361,22.901565
11,31.534858,23.111480
12,30.149634,23.306878
13,28.814409,23.487948
14,27.528736,23.654921
15,26.292011,23.808064
16,25.103497,23.947674
17,23.962335,24.074080
18,22.867562,24.187629
19,21.818125,24.288691
20,20.812895,24.377651
21,19.850680,24.454907
22,18.930240,24.520866
23,18.050295,24.575939
24,17.209540,24.620545
25,16.406647,24.655099
26,15.640284,24.680019
27,14.909113,24.695719
28,14.211804,24.702606
29,13.547037,24.701084
30,12.913508,24.691547
31,12.309936,24.674384
32,11.735063,24.649970
33,11.187661,24.618674
34,10.666531,24.580851
35,10.170508,24.536848
36,9.698463,24.486997
37,9.249300,24.431621
38,8.821963,24.371031
39,8.415431,24.305525
40,8.028722,24.235389
41,7.660892,24.160898
42,7.311032,24.082316
43,6.978274,23.999894
44,6.661784,23.913874
45,6.360764,23.824484
46,6.074450,23.731944
47,5.802116,23.636463
48,5.543064,23.538240
49,5.296633,23.437463
50,5.062190,23.334313
