Iterasi,Populasi Predator,Populasi Prey
1,-12.159651,114.035050
2,5707.852795,-8668.522549
3,47914299437729020000000000000000000000000.000000,-73714306827275420000000000000000000000000.000000
4,1.#INF00,-1.#IND00
5,-1.#IND00,-1.#IND00
6,-1.#IND00,-1.#IND00
7,-1.#IND00,-1.#IND00
8,-1.#IND00,-1.#IND00
9,-1.#IND00,-1.#IND00
10,-1.#IND00,-1.#IND00
11,-1.#IND00,-1.#IND00
12,-1.#IND00,-1.#IND00
13,-1.#IND00,-1.#IND00
14,-1.#IND00,-1.#IND00
15,-1.#IND00,-1.#IND00
16,-1.#IND00,-1.#IND00
17,-1.#IND00,-1.#IND00
18,-1.#IND00,-1.#IND00
19,-1.#IND00,-1.#IND00
20,-1.#IND00,-1.#IND00
